date_time,accel_x,accel_y,accel_z,heart_rate
2019-11-24 18:53:04,-25.0,-30.0,0.0,135.2
2019-11-24 18:53:05,-13.0,-77.0,-16.0,135.32
2019-11-24 18:53:06,-17.0,-29.0,8.0,135.42
2019-11-24 18:53:07,-13.0,-32.0,24.0,135.5
2019-11-24 18:53:08,-18.0,-24.0,17.0,135.58
2019-11-24 18:53:09,-27.0,-26.0,19.0,135.63
2019-11-24 18:53:10,-22.0,-25.0,10.0,135.77
2019-11-24 18:53:11,-28.0,-48.0,15.0,135.8
2019-11-24 18:53:12,-18.0,-46.0,13.0,136.13
2019-11-24 18:53:13,-12.0,-43.0,11.0,136.78
2019-11-24 18:53:14,-25.0,-36.0,9.0,137.43
2019-11-24 18:53:15,-16.0,-31.0,6.0,137.07
2019-11-24 18:53:16,-7.0,-27.0,10.0,136.65
2019-11-24 18:53:17,-7.0,-32.0,7.0,136.15
2019-11-24 18:53:18,-11.0,-31.0,10.0,135.68
2019-11-24 18:53:19,-8.0,-39.0,8.0,135.2
2019-11-24 18:53:20,-8.0,-29.0,8.0,134.73
2019-11-24 18:53:21,-9.0,-29.0,7.0,134.25
2019-11-24 18:53:22,-16.0,-55.0,5.0,133.82
2019-11-24 18:53:23,-14.0,-108.0,10.0,133.43
2019-11-24 18:53:24,-22.0,-87.0,7.0,133.1
2019-11-24 18:53:25,-19.0,-102.0,13.0,132.68
2019-11-24 18:53:26,-19.0,-80.0,15.0,132.28
2019-11-24 18:53:27,-16.0,-90.0,9.0,131.87
2019-11-24 18:53:28,-17.0,-73.0,18.0,131.5
2019-11-24 18:53:29,-29.0,-70.0,13.0,131.07
2019-11-24 18:53:30,-31.0,-44.0,4.0,130.68
2019-11-24 18:53:31,-14.0,-60.0,-13.0,130.33
2019-11-24 18:53:32,-15.0,-58.0,3.0,130.27
2019-11-24 18:53:33,-23.0,-83.0,16.0,130.2
2019-11-24 18:53:34,-21.0,-99.0,18.0,130.2
2019-11-24 18:53:35,-32.0,-43.0,15.0,130.43
2019-11-24 18:53:36,-21.0,-33.0,12.0,130.65
2019-11-24 18:53:37,-14.0,-58.0,17.0,130.87
2019-11-24 18:53:38,-20.0,-70.0,20.0,131.05
2019-11-24 18:53:39,-18.0,-90.0,11.0,131.25
2019-11-24 18:53:40,-16.0,-50.0,4.0,131.42
2019-11-24 18:53:41,-10.0,-57.0,9.0,131.52
2019-11-24 18:53:42,-20.0,-66.0,17.0,131.62
2019-11-24 18:53:43,-17.0,-32.0,11.0,131.7
2019-11-24 18:53:44,-13.0,-45.0,17.0,131.82
2019-11-24 18:53:45,-20.0,-93.0,9.0,131.9
2019-11-24 18:53:46,-15.0,-88.0,4.0,132.0
2019-11-24 18:53:47,-16.0,-39.0,5.0,132.1
2019-11-24 18:53:48,-14.0,-44.0,5.0,132.2
2019-11-24 18:53:49,-16.0,-73.0,4.0,132.32
2019-11-24 18:53:50,-15.0,-48.0,11.0,132.4
2019-11-24 18:53:51,-5.0,-56.0,11.0,132.48
2019-11-24 18:53:52,-11.0,-87.0,-1.0,132.58
2019-11-24 18:53:53,-15.0,-36.0,5.0,132.68
2019-11-24 18:53:54,-15.0,-74.0,5.0,132.8
2019-11-24 18:53:55,-23.0,-106.0,16.0,132.93
2019-11-24 18:53:56,-25.0,-58.0,11.0,133.05
2019-11-24 18:53:57,-15.0,-41.0,10.0,133.15
2019-11-24 18:53:58,-44.0,-82.0,15.0,133.25
2019-11-24 18:53:59,-19.0,-59.0,-12.0,133.32
2019-11-24 18:54:00,-16.0,-54.0,11.0,133.38
2019-11-24 18:54:01,-15.0,-20.0,19.0,133.48
2019-11-24 18:54:02,-23.0,-24.0,8.0,133.57
2019-11-24 18:54:03,-35.0,-47.0,8.0,133.62
2019-11-24 18:54:04,-27.0,-50.0,12.0,133.7
2019-11-24 18:54:05,-23.0,-72.0,7.0,133.75
2019-11-24 18:54:06,-24.0,-104.0,7.0,133.78
2019-11-24 18:54:07,-41.0,-128.0,2.0,133.83
2019-11-24 18:54:08,-24.0,-34.0,13.0,133.87
2019-11-24 18:54:09,-15.0,-20.0,24.0,133.95
2019-11-24 18:54:10,-17.0,-23.0,20.0,133.92
2019-11-24 18:54:11,-28.0,-28.0,12.0,133.95
2019-11-24 18:54:12,-26.0,-30.0,15.0,133.68
2019-11-24 18:54:13,-26.0,-35.0,13.0,133.1
2019-11-24 18:54:14,-31.0,-32.0,10.0,132.5
2019-11-24 18:54:15,-41.0,-67.0,10.0,132.92
2019-11-24 18:54:16,-14.0,-50.0,12.0,133.4
2019-11-24 18:54:17,-61.0,-84.0,12.0,133.92
2019-11-24 18:54:18,-42.0,-110.0,24.0,134.4
2019-11-24 18:54:19,-46.0,-80.0,24.0,134.88
2019-11-24 18:54:20,-36.0,-77.0,28.0,135.37
2019-11-24 18:54:21,-33.0,-70.0,21.0,135.83
2019-11-24 18:54:22,-22.0,-50.0,15.0,136.25
2019-11-24 18:54:23,-25.0,-34.0,12.0,136.62
2019-11-24 18:54:24,-29.0,-43.0,24.0,136.93
2019-11-24 18:54:25,-29.0,-49.0,6.0,137.28
2019-11-24 18:54:26,-18.0,-57.0,17.0,137.62
2019-11-24 18:54:27,-25.0,-79.0,14.0,137.95
2019-11-24 18:54:28,-19.0,-94.0,9.0,138.3
2019-11-24 18:54:29,-16.0,-90.0,8.0,138.62
2019-11-24 18:54:30,-14.0,-80.0,0.0,138.93
2019-11-24 18:54:31,-15.0,-46.0,0.0,139.23
2019-11-24 18:54:32,-16.0,-38.0,4.0,139.45
2019-11-24 18:54:33,-13.0,-37.0,5.0,139.67
2019-11-24 18:54:34,-9.0,-66.0,6.0,139.83
2019-11-24 18:54:35,-22.0,-111.0,21.0,139.82
2019-11-24 18:54:36,-22.0,-36.0,8.0,139.82
2019-11-24 18:54:37,-11.0,-46.0,15.0,139.83
2019-11-24 18:54:38,-28.0,-64.0,30.0,139.87
2019-11-24 18:54:39,-16.0,-97.0,12.0,139.9
2019-11-24 18:54:40,-14.0,-83.0,0.0,139.95
2019-11-24 18:54:41,-17.0,-46.0,1.0,140.03
2019-11-24 18:54:42,-13.0,-35.0,4.0,140.08
2019-11-24 18:54:43,-11.0,-77.0,7.0,140.17
2019-11-24 18:54:44,-20.0,-57.0,20.0,140.23
2019-11-24 18:54:45,-11.0,-42.0,14.0,140.3
2019-11-24 18:54:46,-18.0,-48.0,21.0,140.35
