date_time,accel_x,accel_y,accel_z,temp
2019-11-24 18:56:58.375000064,-40.0,34.0,-22.0,32.23
2019-11-24 18:56:58.406249984,-41.0,35.0,-22.0,32.23
2019-11-24 18:56:58.437499904,-45.0,36.0,-23.0,32.23
2019-11-24 18:56:58.468750080,-48.0,38.0,-27.0,32.23
2019-11-24 18:56:58.500000000,-51.0,39.0,-28.0,32.23
2019-11-24 18:56:58.531249920,-56.0,38.0,-31.0,32.23
2019-11-24 18:56:58.562500096,-58.0,38.0,-32.0,32.23
2019-11-24 18:56:58.593750016,-59.0,37.0,-29.0,32.23
2019-11-24 18:56:58.624999936,-57.0,38.0,-30.0,32.23
2019-11-24 18:56:58.656250112,-57.0,36.0,-32.0,32.23
2019-11-24 18:56:58.687500032,-56.0,26.0,-33.0,32.23
2019-11-24 18:56:58.718749952,-55.0,23.0,-29.0,32.23
2019-11-24 18:56:58.750000128,-48.0,25.0,-23.0,32.23
2019-11-24 18:56:58.781250048,-43.0,26.0,-22.0,32.232499999999995
2019-11-24 18:56:58.812499968,-41.0,27.0,-21.0,32.235
2019-11-24 18:56:58.843749888,-38.0,28.0,-21.0,32.2375
2019-11-24 18:56:58.875000064,-39.0,30.0,-22.0,32.239999999999995
2019-11-24 18:56:58.906249984,-42.0,31.0,-21.0,32.2425
2019-11-24 18:56:58.937499904,-42.0,32.0,-19.0,32.245
2019-11-24 18:56:58.968750080,-44.0,35.0,-20.0,32.2475
2019-11-24 18:56:59.000000000,-46.0,36.0,-18.0,32.25
2019-11-24 18:56:59.031249920,-47.0,36.0,-17.0,32.25
2019-11-24 18:56:59.062500096,-48.0,39.0,-20.0,32.25
2019-11-24 18:56:59.093750016,-49.0,41.0,-22.0,32.25
2019-11-24 18:56:59.124999936,-51.0,41.0,-27.0,32.25
2019-11-24 18:56:59.156250112,-51.0,38.0,-28.0,32.25
2019-11-24 18:56:59.187500032,-50.0,41.0,-31.0,32.25
2019-11-24 18:56:59.218749952,-51.0,44.0,-41.0,32.25
2019-11-24 18:56:59.249999872,-52.0,38.0,-43.0,32.25
2019-11-24 18:56:59.281250048,-46.0,34.0,-33.0,32.25
2019-11-24 18:56:59.312499968,-44.0,39.0,-36.0,32.25
2019-11-24 18:56:59.343749888,-43.0,39.0,-38.0,32.25
2019-11-24 18:56:59.375000064,-43.0,33.0,-36.0,32.25
2019-11-24 18:56:59.406249984,-41.0,30.0,-32.0,32.25
2019-11-24 18:56:59.437499904,-39.0,29.0,-25.0,32.25
2019-11-24 18:56:59.468750080,-38.0,30.0,-23.0,32.25
2019-11-24 18:56:59.500000000,-38.0,30.0,-22.0,32.25
2019-11-24 18:56:59.531249920,-39.0,32.0,-22.0,32.25
2019-11-24 18:56:59.562500096,-40.0,33.0,-23.0,32.25
2019-11-24 18:56:59.593750016,-41.0,34.0,-22.0,32.25
2019-11-24 18:56:59.624999936,-41.0,35.0,-21.0,32.25
2019-11-24 18:56:59.656250112,-43.0,38.0,-23.0,32.25
2019-11-24 18:56:59.687500032,-47.0,42.0,-28.0,32.25
